Date,Value
2017-10-31,849999.0
2017-09-30,849000.0
2017-08-31,799900.0
2017-07-31,799000.0
2017-06-30,797900.0
2017-05-31,819000.0
2017-04-30,798000.0
2017-03-31,769000.0
2017-02-28,788000.0
2017-01-31,799800.0
2016-12-31,785888.0
2016-11-30,776500.0
2016-10-31,758888.0
2016-09-30,788000.0
2016-08-31,774750.0
2016-07-31,779000.0
2016-06-30,774750.0
2016-05-31,750000.0
2016-04-30,749400.0
2016-03-31,718000.0
2016-02-29,725000.0
2016-01-31,697000.0
2015-12-31,675000.0
2015-11-30,660000.0
2015-10-31,695000.0
2015-09-30,699000.0
2015-08-31,699999.0
2015-07-31,699974.5
2015-06-30,685000.0
2015-05-31,659950.0
2015-04-30,648000.0
2015-03-31,629950.0
2015-02-28,628888.0
2015-01-31,610000.0
2014-12-31,635000.0
2014-11-30,624899.5
2014-10-31,638888.0
2014-09-30,638000.0
2014-08-31,638000.0
2014-07-31,615000.0
2014-06-30,609000.0
2014-05-31,614000.0
2014-04-30,599475.0
2014-03-31,589500.0
2014-02-28,565000.0
2014-01-31,550000.0
2013-12-31,568500.0
2013-11-30,550000.0
